Format Version,1.21,Take Name,(3.2),Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-01-18 10.25.41 AM,Total Frames in Take,98,Total Exported Frames,98,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,MarkerSet:intersection,MarkerSet:intersection,MarkerSet:intersection
,,"8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000","8392B20CF49E35718D0100000000"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,1.553461,0.003251,0.542461
1,0.008333,1.553462,0.003242,0.542467
2,0.016667,1.553462,0.003243,0.542459
3,0.025000,1.553456,0.003230,0.542472
4,0.033333,1.553469,0.003250,0.542472
5,0.041667,1.553466,0.003238,0.542478
6,0.050000,1.553470,0.003243,0.542477
7,0.058333,1.553478,0.003255,0.542467
8,0.066667,1.553455,0.003241,0.542473
9,0.075000,1.553450,0.003231,0.542465
10,0.083333,1.553452,0.003248,0.542473
11,0.091667,1.553464,0.003251,0.542464
12,0.100000,1.553462,0.003233,0.542478
13,0.108333,1.553467,0.003242,0.542455
14,0.116667,1.553462,0.003243,0.542479
15,0.125000,1.553469,0.003236,0.542484
16,0.133333,1.553462,0.003234,0.542478
17,0.141667,1.553457,0.003248,0.542453
18,0.150000,1.553454,0.003245,0.542476
19,0.158333,1.553452,0.003229,0.542478
20,0.166667,1.553451,0.003250,0.542474
21,0.175000,1.553459,0.003234,0.542466
22,0.183333,1.553461,0.003226,0.542473
23,0.191667,1.553481,0.003240,0.542478
24,0.200000,1.553455,0.003244,0.542481
25,0.208333,1.553465,0.003230,0.542487
26,0.216667,1.553456,0.003241,0.542497
27,0.225000,1.553468,0.003238,0.542497
28,0.233333,1.553469,0.003244,0.542486
29,0.241667,1.553472,0.003229,0.542475
30,0.250000,1.553453,0.003236,0.542476
31,0.258333,1.553470,0.003251,0.542489
32,0.266667,1.553461,0.003243,0.542493
33,0.275000,1.553465,0.003245,0.542481
34,0.283333,1.553443,0.003228,0.542486
35,0.291667,1.553459,0.003226,0.542470
36,0.300000,1.553469,0.003232,0.542497
37,0.308333,1.553461,0.003242,0.542476
38,0.316667,1.553448,0.003236,0.542478
39,0.325000,1.553451,0.003226,0.542502
40,0.333333,1.553464,0.003238,0.542480
41,0.341667,1.553471,0.003225,0.542494
42,0.350000,1.553446,0.003220,0.542514
43,0.358333,1.553476,0.003218,0.542513
44,0.366667,1.553455,0.003209,0.542512
45,0.375000,1.553459,0.003222,0.542515
46,0.383333,1.553470,0.003220,0.542508
47,0.391667,1.553462,0.003220,0.542504
48,0.400000,1.553473,0.003229,0.542477
49,0.408333,1.553463,0.003232,0.542476
50,0.416667,1.553468,0.003227,0.542486
51,0.425000,1.553458,0.003230,0.542477
52,0.433333,1.553456,0.003249,0.542468
53,0.441667,1.553460,0.003247,0.542485
54,0.450000,1.553452,0.003244,0.542467
55,0.458333,1.553471,0.003241,0.542481
56,0.466667,1.553449,0.003255,0.542473
57,0.475000,1.553443,0.003248,0.542469
58,0.483333,1.553463,0.003248,0.542471
59,0.491667,1.553457,0.003230,0.542468
60,0.500000,1.553463,0.003257,0.542470
61,0.508333,1.553470,0.003261,0.542472
62,0.516667,1.553465,0.003266,0.542468
63,0.525000,1.553464,0.003262,0.542473
64,0.533333,1.553472,0.003236,0.542475
65,0.541667,1.553476,0.003258,0.542463
66,0.550000,1.553477,0.003263,0.542463
67,0.558333,1.553460,0.003266,0.542471
68,0.566667,1.553467,0.003237,0.542495
69,0.575000,1.553465,0.003239,0.542486
70,0.583333,1.553473,0.003260,0.542475
71,0.591667,1.553460,0.003262,0.542491
72,0.600000,1.553468,0.003240,0.542473
73,0.608333,1.553473,0.003247,0.542482
74,0.616667,1.553465,0.003240,0.542480
75,0.625000,1.553463,0.003234,0.542479
76,0.633333,1.553455,0.003248,0.542478
77,0.641667,1.553465,0.003237,0.542485
78,0.650000,1.553463,0.003224,0.542501
79,0.658333,1.553457,0.003207,0.542506
80,0.666667,1.553458,0.003230,0.542509
81,0.675000,1.553476,0.003226,0.542493
82,0.683333,1.553457,0.003221,0.542502
83,0.691667,1.553458,0.003231,0.542487
84,0.700000,1.553468,0.003230,0.542482
85,0.708333,1.553467,0.003234,0.542500
86,0.716667,1.553454,0.003230,0.542479
87,0.725000,1.553475,0.003230,0.542473
88,0.733333,1.553451,0.003211,0.542481
89,0.741667,1.553456,0.003231,0.542469
90,0.750000,1.553461,0.003237,0.542489
91,0.758333,1.553454,0.003246,0.542467
92,0.766667,1.553468,0.003224,0.542497
93,0.775000,1.553457,0.003220,0.542484
94,0.783333,1.553464,0.003214,0.542499
95,0.791667,1.553450,0.003248,0.542472
96,0.800000,1.553452,0.003208,0.542472
97,0.808333,1.553452,0.003240,0.542483
